"","Name","Address","lon","lat"
"1","BOKF, National Association","125 Southwest Blvd, Kansas City, Missouri 64108",-94.5857107,39.0895945
"2","North American Savings Bank, F.S.B.","2707 Nw Prairie View Rd, Platte City, Missouri 64079",-94.7575505,39.3488881
"3","Arvest Bank","911 Ne Sam Walton Ln, Lees Summit, Missouri 64086",-94.3608869,38.9284113
"4","Academy Bank, National Association","600 Ne Coronado Dr, Blue Springs, Missouri 64014",-94.2550011,39.024119
"5","The Central Trust Bank","4209 E 50th Ter, Kansas City, Missouri 64130",-94.5352888,39.0331836
"6","JPMorgan Chase Bank, National Association","900 Pryor Rd, Lees Summit, Missouri 64081",-94.4159166,38.9041267
"7","Bank of Odessa","1114 S Broadway, Oak Grove, Missouri 64075",-94.1295476,39.0051255
"8","Commerce Bank","6100 Troost Ave, Kansas City, Missouri 64110",-94.5747348,39.0163239
"9","U.S. Bank National Association","200 Ne Vivion Rd, Kansas City, Missouri 64118",-94.5798137,39.1816715
"10","Commerce Bank","6334 Ne Antioch Rd, Gladstone, Missouri 64119",-94.5476645,39.2094445
"11","The Central Trust Bank","9740 Wornall Rd, Kansas City, Missouri 64114",-94.5964846,38.9508694
"12","Blue Ridge Bank and Trust Co.","6202 Raytown Trfy, Raytown, Missouri 64133",-94.466825,39.0109042
"13","U.S. Bank National Association","8701 Blue Ridge Blvd, Kansas City, Missouri 64138",-94.4993457,38.965981
"14","Arvest Bank","222 W Gregory Blvd, Kansas City, Missouri 64114",-94.5925543,38.9997742
"15","U.S. Bank National Association","1599 Ne Douglas St, Lees Summit, Missouri 64086",-94.377666,38.940076
"16","Country Club Bank","1 Ward Pkwy, Kansas City, Missouri 64112",-94.5876615,39.0395989
"17","Arvest Bank","6420 Prospect Ave, Kansas City, Missouri 64132",-94.557042,39.0094171
"18","Bank of America, National Association","1210 W 135th Ter, Kansas City, Missouri 64145",-94.6072318,38.8832145
"19","Clay County Savings Bank","8140 N Brighton Ave, Kansas City, Missouri 64119",-94.5212338,39.2410133
"20","BOKF, National Association","1710 Ne Douglas St, Lees Summit, Missouri 64086",-94.3788775,38.9423916
"21","The Central Trust Bank","1305 Sw Arborwalk Blvd, Lees Summit, Missouri 64082",-94.4055559,38.8539125
"22","U.S. Bank National Association","2301 Holmes St, Kansas City, Missouri 64108",-94.5751767,39.0845177
"23","Country Club Bank","401 Armour Rd, North Kansas City, Missouri 64116",-94.5757021,39.1419266
"24","NBH Bank","1111 Main St, Kansas City, Missouri 64105",-94.582989,39.1008696
"25","CrossFirst Bank","4622 Pennsylvania Ave, Kansas City, Missouri 64112",-94.5939242,39.0434495
"26","Wells Bank","8500 N Green Hills Rd, Kansas City, Missouri 64154",-94.6317383,39.2479999
"27","UMB Bank, National Association","6400 Independence Ave, Kansas City, Missouri 64125",-94.5074643,39.1050542
"28","The Central Trust Bank","4438 N.W. Gateway, Riverside, Missouri 64168",-94.6136123,39.1760477
"29","UMB Bank, National Association","1 Victory Dr, Liberty, Missouri 64068",-94.4483195,39.2438962
"30","UMB Bank, National Association","6252 Raytown Rd, Raytown, Missouri 64133",-94.4639242,39.0089001
"31","Commerce Bank","1125 Charlotte Street, Kansas City, Missouri 64106",-94.5739029,39.100351
"32","Commerce Bank","503 N Hwy 7, Blue Springs, Missouri 64015",-94.2725722,39.0226339
"33","The Central Trust Bank","1603 S 169 Hwy, Smithville, Missouri 64089",-94.5831999,39.3601574
"34","U.S. Bank National Association","221 W Gregory Blvd, Kansas City, Missouri 64114",-94.5929551,38.9992698
"35","Arvest Bank","5600 N Broadway St, Gladstone, Missouri 64118",-94.5861784,39.1964307
"36","Commerce Bank","5801 Nw Barry Rd, Kansas City, Missouri 64154",-94.6476706,39.246176
"37","U.S. Bank National Association","701 W Main St, Blue Springs, Missouri 64015",-94.2726465,39.0187358
"38","NBH Bank","201 N Jesse James Rd, Excelsior Springs, Missouri 64024",-94.2457815,39.3391318
"39","First Federal Bank of Kansas City","1200 Armour Rd, North Kansas City, Missouri 64116",-94.5665413,39.1442314
"40","North American Savings Bank, F.S.B.","8501 North Oak Trafficway, Gladstone, Missouri 64119",-94.5753797,39.2481376
"41","Blue Ridge Bank and Trust Co.","621 Nw Duncan Rd, Blue Springs, Missouri 64014",-94.2708133,39.0385533
"42","U.S. Bank National Association","9063 E Gregory Blvd, Raytown, Missouri 64133",-94.47633,38.9946047
"43","Bank of America, National Association","17410 East 24 Highway, Independence, Missouri 64056",-94.3620466,39.1251161
"44","Security Bank of Kansas City","8520 Ward Pkwy, Kansas City, Missouri 64114",-94.6068285,38.9734269
"45","UMB Bank, National Association","1310 Carondelet Dr, Kansas City, Missouri 64114",-94.6073528,38.9356905
"46","Blue Ridge Bank and Trust Co.","4315 Sterling Ave, Kansas City, Missouri 64133",-94.4474432,39.0431022
"47","Commerce Bank","17601 East 24 Highway, Independence, Missouri 64056",-94.3614416,39.125199
"48","Great American Bank","3670 Broadway Blvd, Kansas City, Missouri 64111",-94.5912532,39.0615345
"49","The Central Trust Bank","609 Ne 291 Hwy, Lees Summit, Missouri 64086",-94.3593048,38.9234972
"50","Bank of America, National Association","451 W 47th St, Kansas City, Missouri 64112",-94.5931841,39.0421107
"51","Bank of America, National Association","700 S State Route 291, Liberty, Missouri 64068",-94.4376632,39.2382305
"52","The Bank of Grain Valley","14801 E 40 Hwy, Kansas City, Missouri 64136",-94.4055305,39.0477165
"53","State Bank of Missouri","1301 Sw Eagles Pkwy, Grain Valley, Missouri 64029",-94.2222427,39.0081189
"54","Wells Bank","1100 Branch St, Platte City, Missouri 64079",-94.7734465,39.3663879
"55","Central Bank of Kansas City","2301 Independence Ave, Kansas City, Missouri 64124",-94.5541822,39.1060837
"56","Country Club Bank","1 Ward Pkwy, Kansas City, Missouri 64112",-94.5876615,39.0395989
"57","UMB Bank, National Association","1010 Grand Blvd, Kansas City, Missouri 64106",-94.5811816,39.10159
"58","Oakstar Bank","4717 Grand Ave, Kansas City, Missouri 64112",-94.5844496,39.0405304
"59","Blue Ridge Bank and Trust Co.","201 W Lexington Ave, Independence, Missouri 64050",-94.4173247,39.0919731
"60","JPMorgan Chase Bank, National Association","7701 State Line Rd, Kansas City, Missouri 64114",-94.6076351,38.989012
"61","The Nodaway Valley Bank","2703 Running Horse Rd, Platte City, Missouri 64079",-94.7609477,39.3486686
"62","U.S. Bank National Association","1 W Armour Blvd, Kansas City, Missouri 64111",-94.5860218,39.0634217
"63","BMO Harris Bank National Association","105 N Stewart Ct, Liberty, Missouri 64068",-94.4527028,39.2452278
"64","The Central Trust Bank","6410 N Prospect Ave, Kansas City, Missouri 64119",-94.5491863,39.2102697
"65","The Central Trust Bank","4315 S Noland Rd, Independence, Missouri 64055",-94.4148022,39.0419067
"66","The Central Trust Bank","609 Northeast Missouri 291, Lees Summit, Missouri 64086",-94.366345,38.944093
"67","NBH Bank","18301 E 40 Hwy, Independence, Missouri 64055",-94.3750926,39.0468625
"68","NBH Bank","1580 N Church Rd, Liberty, Missouri 64068",-94.4464965,39.2677867
"69","Equity Bank","1251 Sw Oldham Pkwy, Lees Summit, Missouri 64081",-94.3768243,38.9001043
"70","Equity Bank","651 Ne Coronado Dr, Blue Springs, Missouri 64014",-94.253725,39.0273885
"71","Arvest Bank","9300 Blue Ridge Blvd, Kansas City, Missouri 64138",-94.5072668,38.9557012
"72","Verimore Bank","1925 Burlington St, North Kansas City, Missouri 64116",-94.5799904,39.1422982
"73","Capitol Federal Savings Bank","4242 Main St, Kansas City, Missouri 64111",-94.586764,39.0496411
"74","Southern Bank","7553 Nw Barry Rd, Kansas City, Missouri 64153",-94.667237,39.2464031
"75","Capitol Federal Savings Bank","1911 Starr Dr, Liberty, Missouri 64068",-94.4191177,39.2461138
"76","State Street Bank and Trust Company","801 Pennsylvania Ave, Kansas City, Missouri 64105",-94.5905777,39.1049432
"77","JPMorgan Chase Bank, National Association","1100 E Armour Blvd, Kansas City, Missouri 64109",-94.5714774,39.0635428
"78","The Central Trust Bank","102 S 291 Hwy, Liberty, Missouri 64068",-94.4439079,39.2440293
"79","Country Club Bank","1100 Main St, Kansas City, Missouri 64105",-94.583738,39.100399
"80","Bank of Weston","4001 92 Highway, Platte City, Missouri 64079",-94.7562838,39.3533207
"81","Bank 21","3301 Sw Highway Seven, Blue Springs, Missouri 64014",-94.2716335,39.0524627
"82","NBH Bank","6249 Brookside Blvd, Kansas City, Missouri 64113",-94.5910816,39.0141587
"83","Bank of America, National Association","3100 Main St, Kansas City, Missouri 64111",-94.5857555,39.070545
"84","Bank of America, National Association","1801 Nw Chipman Rd, Lees Summit, Missouri 64081",-94.4086044,38.9257251
"85","Security Bank of Kansas City","1101 Sw 3rd St, Lees Summit, Missouri 64081",-94.3972741,38.9109237
"86","UMB Bank, National Association","6211 N Chestnut Ave, Gladstone, Missouri 64119",-94.5473962,39.2058076
"87","First Federal Bank of Kansas City","4227 Blue Ridge Blvd, Kansas City, Missouri 64133",-94.438009,39.0441987
"88","First Federal Bank of Kansas City","1255 Se Oldham Pkwy, Lees Summit, Missouri 64081",-94.3429061,38.901144
"89","Commerce Bank","11080 Oakmont St, Overland Park, Kansas 66210",-94.7299759,38.9278245
"90","Enterprise Bank & Trust","151 S 18th St, Kansas City, Kansas 66102",-94.6476065,39.0982807
"91","Bank of England","8005 W 110th St, Overland Park, Kansas 66210",-94.6798355,38.92858
"92","Arvest Bank","9545 Metcalf Ave, Overland Park, Kansas 66212",-94.6670956,38.9548671
"93","Security Bank of Kansas City","9900 Woodland Dr, Lenexa, Kansas 66220",-94.8151751,38.9620203
"94","Enterprise Bank & Trust","444 E Santa Fe St, Olathe, Kansas 66061",-94.8134665,38.8840327
"95","BMO Harris Bank National Association","6263 Nall Ave, Mission, Kansas 66202",-94.6483374,39.0168836
"96","HTLF Bank","9500 Lackman Rd, Lenexa, Kansas 66219",-94.7616733,38.9560001
"97","The First National Bank of Louisburg","7640 W 199th St, Stilwell, Kansas 66013",-94.673657,38.7677406
