File,Description,Address,Install_Date,Operator_Name,Cryptos,Alert,lon,lat
002.html,BP," 1005 NW Highway 7, Blue Springs, MO 64015",6/10/2022,Bitstop,Bitcoin,,-94.272479,39.0287372
003.html,Vapor World," 713 NW Highway 7, Blue Springs, MO 64015",2/11/2021,CoinFlip Bitcoin ATMs,"Bitcoin, Ether, Litecoin, Dogecoin",,-94.2729189,39.0249027
004.html,Aqueous Vapor," 608 Tulip Drive, Bonner Springs, KS 66012",11/17/2021,RockItCoin,"Bitcoin, Bitcoin Cash, Ether, Litecoin",,-94.8808746,39.085745
005.html,Bonner Springs Enterprise," 13010 Kansas Avenue, Bonner Springs, KS 66012",4/14/2023,Bitcoin Depot,Bitcoin,,-94.8823541,39.0876924
006.html,Cenex," 413 E Front Street, Bonner Springs, KS 66012",8/4/2021,"Byte Federal, Inc.","Bitcoin, Bitcoin Cash, Ether, Litecoin, Dogecoin, Dash, Monero, Tether",,-94.879152,39.0579038
007.html,7th Heaven," 104 S Main Street, Concordia, MO 64020",10/6/2021,Coin Cloud,"Bitcoin, Bitcoin Cash, Ether, Litecoin, Dogecoin, Zcash, Tether","Cash withdrawals are disabled at this location, you can still buy cryptocurrency here.",-93.5682802,38.9901306
008.html,Star Liquor & Tobacco," 1911 W Jesse James Road, Excelsior Springs, MO 64024",3/16/2022,Bitstop,Bitcoin,,-94.2557283,39.335199
009.html,VaporWyse," 147 Crown Hill Road, Excelsior Springs, MO 64024",1/10/2022,CoinFlip Bitcoin ATMs,"Bitcoin, Ether, Litecoin, Dogecoin",,-94.2490886,39.3393933
010.html,Vapor Maven," 207 E 3rd Street, Fort Scott, KS 66701",3/12/2021,CoinFlip Bitcoin ATMs,"Bitcoin, Ether, Litecoin, Dogecoin",,-94.7035903,37.8392677
011.html,CBD American Shaman Truman Marketplace," 5501 Truman's Marketplace Dr. Suite 104, Grandview, MO 64030",3/8/2022,CoinFlip Bitcoin ATMs,"Bitcoin, Ether, Litecoin, Dogecoin",,-94.5272931,38.9044183
012.html,Grandview Corner," 815 Main Street, Grandview, MO 64030",3/29/2022,Cash2Bitcoin.com,"Bitcoin, Ether, Litecoin",,-94.5354096,38.8891161
013.html,Amoco," 21406 E 275th Street, Harrisonville, MO 64701",11/10/2021,Bitstop,Bitcoin,,-94.350833,38.6177971
014.html,CBD American Shaman Harrisonville," 2008 N 291 Highway, Harrisonville, MO 64701",5/13/2022,CoinFlip Bitcoin ATMs,"Bitcoin, Ether, Litecoin, Dogecoin",,-94.3682591,38.6694357
015.html,Discount Smokes & Liquor," 150 S Commercial Street, Harrisonville, MO 64701",3/17/2022,Bitstop,Bitcoin,,-94.3586607,38.6546391
016.html,Ducky's Gas Station," 1901 E Mechanic Street, Harrisonville, MO 64701",1/19/2022,Bitstop,Bitcoin,,-94.3325099,38.6545338
017.html,Vapor Maven," 317 S Commercial Street, Harrisonville, MO 64701",12/15/2020,CoinFlip Bitcoin ATMs,"Bitcoin, Ether, Litecoin, Dogecoin",,-94.3572231,38.6537159
018.html,FavTrip Independence," 10507 East 23rd St , Independence, MO 64052",3/2/2020,Coin Cloud,"Bitcoin, Bitcoin Cash, Ether, Litecoin, Dogecoin, Zcash, Tether","Cash withdrawals are disabled at this location, you can still buy cryptocurrency here.",-94.4536479,39.0804625
019.html,Sinclair," 211 S Noland Road, Independence, MO 64050",4/15/2020,Coin Cloud,"Bitcoin, Bitcoin Cash, Ether, Litecoin, Dogecoin, Zcash, Tether","Cash withdrawals are disabled at this location, you can still buy cryptocurrency here.",-94.4127032,39.0901581
020.html,Sterling Apple Market," 11215 US-24,  E, Independence, MO 64054",3/13/2022,"Byte Federal, Inc.","Bitcoin, Bitcoin Cash, Ether, Litecoin, Dogecoin, Dash, Monero, Tether",,-94.4436899,39.101793
021.html,ZEDZ," 3459 S Sterling Avenue, Independence, MO 64052",2/26/2022,Bitcoin Depot,Bitcoin,,-94.4468518,39.0589499
